partition,pca_1,pca_2,kmeans_segment,gmm_segment
train,0.9716519452269307,-0.9287908869289017,3,6
train,1.1268318947413718,-0.4887975397016255,0,0
train,0.7328485719447136,-0.39468099610874463,0,1
train,-0.16016510311531856,-0.4926616608919667,3,6
train,1.5498528545276462,-0.9150354937898049,3,0
train,-0.32700373089179136,-0.344901719366848,1,6
train,0.6794337988069513,-0.43499775754416714,3,1
train,-1.444615695546592,-0.02864653627823116,1,2
train,0.8020750811042106,-0.6984585076205898,3,0
train,-0.5953203135206544,0.548845607012677,4,5
train,-2.125846663527827,0.6656435691404211,1,7
train,-1.622028810478569,0.1026000246222288,1,2
train,-0.252208660096419,0.015614764876819306,4,7
train,-1.4658868607588782,0.07682107018819086,1,2
train,-1.9834141260540845,0.3459925252962838,1,2
train,0.21744720674923476,-0.9080482937020598,3,6
train,-0.7672962334375283,-0.2488696930048423,1,1
train,-1.7861739041739253,0.16219389357902192,1,2
train,-0.29189175624858416,-0.4181693182095814,3,7
train,0.8042204297857716,-0.29503730892365787,3,0
train,-0.79048425053839,1.1003122945002834,4,7
train,-1.451316464368042,0.2917682510183913,1,2
train,0.42940139256993126,-0.3639926634253065,3,6
train,0.21873909315103665,-1.3502420205798507,2,6
train,1.3881613483212132,0.42299332129532363,4,0
train,0.7146116364369771,-0.9116802307251322,0,0
train,-0.0476590069559408,-0.3336756428803154,3,2
train,1.6553412662525,-0.4102890466659084,2,6
train,0.8259358859170752,-1.0582613113826869,3,1
train,-0.3261935586525534,0.34963863367500914,4,7
train,2.65561177512216,-0.3858253667625097,3,4
train,1.1330905713368264,-0.8434726477937177,3,0
train,-1.1985124618756477,0.648439987435324,4,5
train,0.4718343843649136,-1.0440905085605379,3,1
train,0.9108088373237212,-0.9740242687056259,3,0
train,-0.012466225720124968,1.194944786928187,4,5
train,-0.793950531984599,1.9877049530572968,4,5
train,-0.6527727184473402,-0.17227603448919665,1,2
train,1.667142479921891,-0.5404000284819894,3,0
train,-0.8783273057289746,0.012720343955052326,1,6
train,2.0444739453640737,-0.04685419191312099,3,0
train,0.036163832008350986,0.0852235275800087,4,6
train,0.6406102278886951,-0.5005816122601054,3,6
train,-2.290170521255297,0.8599471523451894,1,2
train,-2.3975866203080964,0.5640868487419676,1,2
train,0.8264729495424695,-0.5793097813044642,3,6
train,-1.5233480558925645,0.3097702669506983,1,2
train,-1.97992865853626,0.189540882949326,1,2
train,-1.2016392761429902,-0.13170918072324106,1,2
train,0.3723660060639326,-0.5606982135274658,0,0
train,-1.4664238507230287,0.0031916757594771385,1,2
train,-0.2714872846611213,-0.5433794638787959,3,7
train,0.7827535287193902,-0.320586709378138,3,0
train,0.14944824176897561,-0.6127744134532844,3,6
train,5.972484394749905,-0.47555488227890924,0,4
train,0.35873847579697304,-0.36097476516542004,0,0
train,-0.46726291439241363,0.7272356833228636,4,6
train,0.8167021891950572,-0.4589220495161181,3,1
train,0.38709956905432674,1.3696694103926894,4,3
train,0.626518019160827,-0.4998102165295324,3,6
train,0.06936415747332393,-0.26714229347761054,3,6
train,0.11173516128917438,-0.5385737327042012,3,6
train,1.30402485015905,-1.0605550435936941,2,1
train,0.48790314390539036,-0.8459571972234676,2,1
train,2.793434959375719,-0.9212483137152537,3,4
train,-1.1771555753684664,0.20074667909131041,1,2
train,2.475073930520189,0.05845238028231374,3,4
train,0.5558233804180069,-0.6179706073151365,3,6
train,-0.38951595751411666,0.055590653582734,1,6
train,-1.0577808230600714,-0.03494971642458468,1,2
train,2.9135672597095574,0.4898756918419082,0,4
train,0.9003087129871253,-0.4359191202508304,3,0
train,-0.17368982365391,1.0429221946161713,4,7
train,2.1240636535198925,-0.530243393284803,3,0
train,0.25798194507903727,0.07409218778234998,0,0
train,0.31290734341877013,1.1518027499244772,4,7
