threshold,precision,recall,f_beta
0.2506247614570676,0.6401273885350318,0.9663461538461539,0.8769633507853404
0.2509869515138372,0.6411483253588517,0.9663461538461539,0.8773461370580532
0.2511469888935759,0.6421725239616614,0.9663461538461539,0.8777292576419213
0.25172361343314464,0.6416,0.9639423076923077,0.8759283529925732
0.2533050948601142,0.6426282051282052,0.9639423076923077,0.8763111888111889
0.2535810403660633,0.6420545746388443,0.9615384615384616,0.8745080891998251
0.2540582551490633,0.6430868167202572,0.9615384615384616,0.8748906386701661
0.25409038765066627,0.644122383252818,0.9615384615384616,0.87527352297593
0.2584372489503331,0.6451612903225806,0.9615384615384616,0.8756567425569176
0.2627792356168655,0.6462035541195477,0.9615384615384616,0.8760402978537013
0.2641337442464817,0.6472491909385113,0.9615384615384616,0.8764241893076248
0.26426743905390854,0.646677471636953,0.9591346153846154,0.8746163963174046
0.2652030312004946,0.6461038961038961,0.9567307692307693,0.8728070175438596
0.2655249566471569,0.6471544715447154,0.9567307692307693,0.8731899956121105
0.26620072060926797,0.6482084690553745,0.9567307692307693,0.8735733099209834
0.2697270434119459,0.6476345840130505,0.9543269230769231,0.8717610891523936
0.27122362274839146,0.6486928104575164,0.9543269230769231,0.8721441124780317
0.27771037584946506,0.6497545008183306,0.9543269230769231,0.8725274725274726
0.279297795691736,0.6508196721311476,0.9543269230769231,0.8729111697449429
0.2806047658649082,0.6518883415435139,0.9543269230769231,0.873295204575451
0.28078642894553507,0.6513157894736842,0.9519230769230769,0.8714788732394364
0.283379346387926,0.6523887973640856,0.9519230769230769,0.8718626155878468
0.2838373654409436,0.6518151815181518,0.9495192307692307,0.870044052863436
0.2840474030020416,0.6528925619834711,0.9495192307692307,0.8704275011018069
0.28845253977801577,0.6539735099337748,0.9495192307692307,0.8708112874779541
0.289590995623302,0.6550580431177446,0.9495192307692307,0.871195412439347
0.2920160998770693,0.6561461794019934,0.9495192307692307,0.8715798764342453
0.3010195344477419,0.6572379367720466,0.9495192307692307,0.8719646799116997
0.3028247851978279,0.6583333333333333,0.9495192307692307,0.8723498233215548
0.3044187957114793,0.659432387312187,0.9495192307692307,0.8727353071144498
0.3052912181927453,0.6605351170568562,0.9495192307692307,0.8731211317418213
0.30834693646204253,0.6599664991624791,0.9471153846153846,0.871295886775763
0.31074800839196504,0.6610738255033557,0.9471153846153846,0.8716814159292035
0.3108801698310711,0.6621848739495798,0.9471153846153846,0.8720672864099158
0.3132602430887955,0.6632996632996633,0.9471153846153846,0.8724534986713905
0.31573451700031474,0.6627318718381113,0.9447115384615384,0.8706247230837396
0.3200344305375588,0.6638513513513513,0.9447115384615384,0.8710106382978723
0.32005550506391606,0.6649746192893401,0.9447115384615384,0.8713968957871396
0.32025145475635347,0.6661016949152543,0.9447115384615384,0.8717834960070985
0.3243577375313398,0.66723259762309,0.9447115384615384,0.8721704394141145
0.32736109273998915,0.6666666666666666,0.9423076923076923,0.8703374777975132
0.3304201436436529,0.6678023850085179,0.9423076923076923,0.8707241226121725
0.33341429176562715,0.6672354948805461,0.9399038461538461,0.8688888888888888
0.33380422773507745,0.6683760683760683,0.9399038461538461,0.8692752334370831
0.3348167239259908,0.6695205479452054,0.9399038461538461,0.869661921708185
0.335584712204496,0.6706689536878216,0.9399038461538461,0.8700489541611036
0.3365891941044277,0.6718213058419243,0.9399038461538461,0.8704363312555654
0.33677655090454356,0.6712564543889845,0.9375,0.868596881959911
0.33928348796042795,0.6724137931034483,0.9375,0.8689839572192514
0.3399222314706802,0.6718480138169257,0.9350961538461539,0.867142220240749
0.34873644224839184,0.6730103806228374,0.9350961538461539,0.867528991971454
0.34974459118974666,0.6741767764298093,0.9350961538461539,0.8679161088799644
0.35381384173860647,0.6753472222222222,0.9350961538461539,0.8683035714285715
0.35417060372437725,0.6747826086956522,0.9326923076923077,0.8664582402858418
0.3543558038238666,0.6759581881533101,0.9326923076923077,0.866845397676497
0.3569807542825531,0.6771378708551483,0.9326923076923077,0.8672329012069736
0.357764453375054,0.6783216783216783,0.9326923076923077,0.8676207513416816
0.35893711654722066,0.6777583187390543,0.9302884615384616,0.865771812080537
0.35985702464438096,0.6789473684210526,0.9302884615384616,0.8661593554162937
0.3601373723427184,0.6783831282952548,0.9278846153846154,0.864308105687416
0.36169051321535256,0.6795774647887324,0.9278846153846154,0.8646953405017922
0.36172755061900064,0.6807760141093474,0.9278846153846154,0.8650829224562977
0.36297351116706494,0.6802120141342756,0.9254807692307693,0.8632286995515696
0.36352130218853224,0.6814159292035398,0.9254807692307693,0.863615971287573
0.3644883738245819,0.6826241134751773,0.9254807692307693,0.8640035906642729
0.36533668748940945,0.6838365896980462,0.9254807692307693,0.8643915581499776
0.3656193862603033,0.6832740213523132,0.9230769230769231,0.862533692722372
0.3691336009696109,0.6844919786096256,0.9230769230769231,0.8629213483146068
0.3708080649497891,0.6839285714285714,0.9206730769230769,0.8610611510791367
0.37237508002575814,0.6833631484794276,0.9182692307692307,0.859199280251912
0.3760128854979865,0.6845878136200717,0.9182692307692307,0.8595859585958595
0.37675247172439674,0.6840215439856373,0.9158653846153846,0.8577217469608285
0.3785134775965798,0.685251798561151,0.9158653846153846,0.858108108108108
0.37928270345971676,0.6864864864864865,0.9158653846153846,0.8584948174853538
0.3798494500448968,0.6877256317689531,0.9158653846153846,0.8588818755635708
0.38797246331973545,0.6871609403254972,0.9134615384615384,0.8570139828597203
0.3880031314304821,0.6884057971014492,0.9134615384615384,0.8574007220216606
0.3897203132261746,0.6878402903811253,0.9110576923076923,0.8555304740406321
0.39081182765018896,0.6872727272727273,0.9086538461538461,0.8536585365853658
0.3913238314618864,0.6885245901639344,0.9086538461538461,0.8540442837776773
0.3914604579891349,0.6897810218978102,0.9086538461538461,0.8544303797468354
0.3920627695904158,0.6910420475319927,0.9086538461538461,0.8548168249660788
0.39271790024640124,0.6923076923076923,0.9086538461538461,0.8552036199095022
0.3933606697707151,0.691743119266055,0.90625,0.8533272974196469
0.39347803135579545,0.6930147058823529,0.90625,0.853713768115942
0.3939157083153749,0.6942909760589319,0.90625,0.8541005890348891
0.3957249781967076,0.6955719557195572,0.90625,0.8544877606527652
0.3970396688917582,0.6950092421441775,0.9038461538461539,0.8526077097505669
0.3979625858148818,0.6944444444444444,0.9014423076923077,0.8507259528130672
0.39821977896827415,0.6938775510204082,0.8990384615384616,0.8488424875170222
0.39838442773320426,0.6951672862453532,0.8990384615384616,0.849227974568574
0.3984783637657606,0.6964618249534451,0.8990384615384616,0.8496138119036802
0.39952270834870535,0.6977611940298507,0.8990384615384616,0.85
0.40019957188363425,0.6990654205607477,0.8990384615384616,0.8503865393360618
0.4014554957678292,0.700374531835206,0.8990384615384616,0.8507734303912649
0.40412208448261466,0.701688555347092,0.8990384615384616,0.8511606736458807
0.40445741631054233,0.7030075187969925,0.8990384615384616,0.8515482695810564
0.40563579161319196,0.7024482109227872,0.8966346153846154,0.8496583143507973
0.4069062035714065,0.7018867924528301,0.8942307692307693,0.8477666362807658
0.40756636179248606,0.7032136105860114,0.8942307692307693,0.8481532147742818
0.4091199007967181,0.7045454545454546,0.8942307692307693,0.8485401459854015
0.411812034904516,0.7058823529411765,0.8942307692307693,0.8489274303970791
0.4132827887994064,0.7053231939163498,0.8918269230769231,0.8470319634703195
0.41340920743349246,0.7066666666666667,0.8918269230769231,0.8474189127455459
0.4137208596363241,0.7080152671755725,0.8918269230769231,0.8478062157221208
0.41415795085118084,0.7074569789674953,0.8894230769230769,0.8459076360310928
0.41564907581630595,0.7088122605363985,0.8894230769230769,0.8462946020128088
0.41579313680317015,0.708253358925144,0.8870192307692307,0.8443935926773455
0.41583543426654485,0.7096153846153846,0.8870192307692307,0.8447802197802197
0.41783813026540584,0.7109826589595376,0.8870192307692307,0.8451672010994045
0.41821427894361773,0.7123552123552124,0.8870192307692307,0.8455545371219063
0.4207906539419165,0.7117988394584139,0.8846153846153846,0.8436497019715726
0.4231303719034647,0.7131782945736435,0.8846153846153846,0.8440366972477064
0.4231361548141311,0.7126213592233009,0.8822115384615384,0.8421294171638366
0.42416909004903336,0.7140077821011673,0.8822115384615384,0.8425160697887971
0.4246773741762276,0.7153996101364523,0.8822115384615384,0.8429030776297658
0.42664727128159724,0.71484375,0.8798076923076923,0.8409926470588235
0.42679972103802394,0.7162426614481409,0.8798076923076923,0.8413793103448276
